Area,Document,Purpose,Drives Code,Depends On,Priority,Status
Requirements,00-requirements/01-requirements-analysis.md,Line-by-line decode of every PDF requirement,Defines acceptance gates for all modules,-,P0,Draft complete
Requirements,00-requirements/02-constraints-and-rules.md,Formal hard/soft rule math,"hard_rules.py, soft_rules.py, objective.py",01-req-analysis,P0,Draft complete
Requirements,00-requirements/03-hidden-expectations.md,What is really being graded + curveballs,Data-driven model decisions,01-req-analysis,P0,Draft complete
Requirements,00-requirements/04-requirements-traceability.md,Req -> doc -> code -> test matrix,Test plan coverage,all,P1,Draft complete
Architecture,01-architecture/01-system-architecture.md,Layered single-process architecture,"Package layout, dependency rule",requirements,P0,Draft complete
Architecture,01-architecture/02-component-responsibilities.md,Per-module responsibility + deps,All scheduler/* modules,01-system-arch,P0,Draft complete
Architecture,01-architecture/03-design-decisions.md,ADRs to defend in interview,engine.py strategy seam,01-system-arch,P1,Draft complete
Scheduler,02-scheduler-engine/01-scheduling-logic.md,End-to-end algorithm spec,engine.py,"data-model, constraints",P0,Draft complete
Scheduler,02-scheduler-engine/02-charging-allocation-strategy.md,ChargerPool allocation + ordering,resources.py,scheduling-logic,P0,Draft complete
Scheduler,02-scheduler-engine/03-optimization-rules.md,Exact soft-metric formulas,"soft_rules.py, objective.py",constraints,P0,Draft complete
Scheduler,02-scheduler-engine/04-conflict-resolution.md,Charger contention resolution,"engine.py, resources.py",allocation,P0,Draft complete
Scheduler,02-scheduler-engine/05-rule-framework.md,Pluggable rule registry + autodiscovery,rules/base.py,architecture,P0,Draft complete
Data Model,03-data-model/01-data-model-design.md,Domain model + file persistence + DB-ready schema,model.py,requirements,P0,Draft complete
Data Model,03-data-model/02-scenario-schema.md,Exact scenario JSON contract + 5 scenarios,"data/scenarios/*.json, loader.py",data-model-design,P0,Draft complete
Data Model,03-data-model/03-output-schema.md,ChargeEvent/BusPlan/ScheduleResult contract,model.py output objects,data-model-design,P0,Draft complete
API,04-api-contracts/01-internal-api-contracts.md,Function contracts + forward REST,loader/engine/validate/adapters signatures,architecture,P1,Draft complete
API,04-api-contracts/02-validation-rules.md,3-stage validation spec,"loader.py, validate.py",data-model,P0,Draft complete
Frontend,05-frontend/01-frontend-flow.md,Streamlit UX flow + 3 views,app.py,"adapters, api",P0,Draft complete
Frontend,05-frontend/02-ui-components.md,Component-level acceptance,app.py,frontend-flow,P1,Draft complete
Backend,06-backend/01-backend-services.md,In-process service responsibilities,loader/engine/validate/adapters,architecture,P1,Draft complete
Testing,07-testing/01-testing-plan.md,pytest suite + pyramid,tests/*,all engine docs,P0,Draft complete
Testing,07-testing/02-edge-cases.md,Edge-case catalogue,"tests/*, engine guards",testing-plan,P0,Draft complete
DevOps,08-devops/01-deployment-strategy.md,Streamlit Cloud deploy + CI,"requirements.txt, gh-actions",all code,P0,Draft complete
Security,09-security/01-security-considerations.md,Right-sized threat model,"gitignore, deps pinning",devops,P2,Draft complete
Observability,10-observability/01-observability.md,Decision transparency + logging,"engine logging, objective breakdown",scheduler,P1,Draft complete
Submission,11-submission/01-submission-checklist.md,Final pre-submit gate,-,all,P0,Draft complete
Submission,11-submission/02-interview-prep.md,Live-task + defence prep,-,all,P1,Draft complete

DIAGRAM FILES (Mermaid),,,,,,
Area,Diagram File,Type,,,,
00-requirements,docs/00-requirements/diagrams/requirements-map.md,flow
01-architecture,docs/01-architecture/diagrams/component-dependency.md,graph
01-architecture,docs/01-architecture/diagrams/data-flow.md,flow
01-architecture,docs/01-architecture/diagrams/system-architecture.md,flow(layers)
02-scheduler-engine,docs/02-scheduler-engine/diagrams/charging-allocation-flow.md,flow
02-scheduler-engine,docs/02-scheduler-engine/diagrams/conflict-resolution-flow.md,sequence
02-scheduler-engine,docs/02-scheduler-engine/diagrams/optimization-decision-flow.md,flow
02-scheduler-engine,docs/02-scheduler-engine/diagrams/scheduler-workflow.md,flow
02-scheduler-engine,docs/02-scheduler-engine/diagrams/state-management-flow.md,state
03-data-model,docs/03-data-model/diagrams/entity-relationship.md,ER
03-data-model,docs/03-data-model/diagrams/scenario-data-flow.md,flow
04-api-contracts,docs/04-api-contracts/diagrams/api-interaction.md,sequence
04-api-contracts,docs/04-api-contracts/diagrams/retry-flow.md,flow
05-frontend,docs/05-frontend/diagrams/render-sequence.md,sequence
05-frontend,docs/05-frontend/diagrams/ui-navigation-flow.md,flow
06-backend,docs/06-backend/diagrams/backend-sequence.md,sequence
07-testing,docs/07-testing/diagrams/test-pyramid.md,flow
08-devops,docs/08-devops/diagrams/deployment-flow.md,flow
10-observability,docs/10-observability/diagrams/logging-flow.md,flow
